id,stationName,latitude,longitude,addr,item,created_at,updated_at
122,백마로(마두역),37.6545086,126.7755571,경기 고양시 일산동구 장항2동 888뉴코아백화점사거리,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
123,신원동,37.666362,126.886708,경기 고양시 덕양구 신원2로 24신원도서관,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
124,주엽동,37.6683,126.7564,경기도 고양시 일산서구 주엽로 104주엽어린이도서관 (주엽동),"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
125,경안동,37.4112,127.2579,경기 광주시 중앙로 128농협중앙회,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
126,오포읍,37.36615,127.22856,경기도 광주시 오포읍 오포로859번길 29오포읍 행정복지센터 옥상,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
127,곤지암,37.350901,127.352363,경기도 광주시 곤지암읍 광여로 59곤지암읍 행정복지센터 옥상,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
128,김량장동,37.2345,127.2014,경기 용인시 처인구 금령로 50처인구청,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
129,수지,37.327927,127.095215,경기 용인시 수지구 수지로 342번길3풍덕천1동주민자치센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
130,기흥,37.280224,127.11514,경기 용인시 기흥구 관곡로 95기흥구청,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
131,중부대로(구갈동),37.275324,127.113744,경기 용인시 기흥구 구갈동 505-3녹십자사거리,"SO2, CO, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
132,모현읍,37.329538,127.242271,경기도 용인시 처인구 모현읍 독점로 31-6모현읍주민자치센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
133,이동읍,37.1410264,127.1960051,경기도 용인시 처인구 이동읍 경기동로 673이동읍주민자치센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
134,백암면,37.1633559,127.3747489,경기도 용인시 처인구 백암면 백암로185번길 8-11백암면주민자치센터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
135,설성면,37.138467,127.54645,경기 이천시 설성면 신필리산 88-5(전파연구소 입구),"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
136,창전동,37.2837,127.441,경기 이천시 영창로 163번길 28평생학습관 어르신쉼터,"SO2, CO, O3, NO2, PM10, PM2.5",2021-04-22 08:54:21,2021-04-22 08:54:21
